,text,ipa,syllables,stress,audio_files,audio_urls
85,تسعين,tɪsˈʕiːn,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-90.wav,https://upload.wikimedia.org/wikipedia/commons/9/9d/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-90.wav
36,اضطر,ɪtˤˈtˤɑrˤ,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-اضطَرّ.wav,https://upload.wikimedia.org/wikipedia/commons/c/cf/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D8%B6%D8%B7%D9%8E%D8%B1%D9%91.wav
477,بستحي,ˈbɪst.ħi,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بستحي.wav,https://upload.wikimedia.org/wikipedia/commons/5/52/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%B3%D8%AA%D8%AD%D9%8A.wav
1043,عمة,ˈʕam.me,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-عمّة.wav,https://upload.wikimedia.org/wikipedia/commons/c/c4/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B9%D9%85%D9%91%D8%A9.wav
1322,معنى,ˈmaʕ.na,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-معنى.wav,https://upload.wikimedia.org/wikipedia/commons/b/b6/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%85%D8%B9%D9%86%D9%89.wav
1082,غمس,ˈɣam.mas,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-غَمَّس.wav,https://upload.wikimedia.org/wikipedia/commons/0/03/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%BA%D9%8E%D9%85%D9%8E%D9%91%D8%B3.wav
39,الشام,(ɪ)ʃˈʃæːm,2,2,LL-Q55633582 (ajp)-AdrianAbdulBaha-الشام.wav,https://upload.wikimedia.org/wikipedia/commons/f/fb/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A7%D9%84%D8%B4%D8%A7%D9%85.wav
867,شارع,ˈʃæː.rɪʕ,2,1,LL-Q55633582 (ajp)-AmmanM (AdrianAbdulBaha)-شارع.wav,https://upload.wikimedia.org/wikipedia/commons/f/fc/LL-Q55633582_%28ajp%29-AmmanM_%28AdrianAbdulBaha%29-%D8%B4%D8%A7%D8%B1%D8%B9.wav
340,أجر,ˈʔaʒ.ʒar,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-أجَّر.wav,https://upload.wikimedia.org/wikipedia/commons/6/6d/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A3%D8%AC%D9%8E%D9%91%D8%B1.wav
322,يمين,jaˈmiːn,2,2,LL-Q55633582 (ajp)-MahmoudM (AdrianAbdulBaha)-يمين.wav,https://upload.wikimedia.org/wikipedia/commons/b/ba/LL-Q55633582_%28ajp%29-MahmoudM_%28AdrianAbdulBaha%29-%D9%8A%D9%85%D9%8A%D9%86.wav
515,بكرة,ˈbuk.rˤɑ,2,1,LL-Q55633582 (ajp)-AseelF (AdrianAbdulBaha)-بُكرا.wav,https://upload.wikimedia.org/wikipedia/commons/4/4a/LL-Q55633582_%28ajp%29-AseelF_%28AdrianAbdulBaha%29-%D8%A8%D9%8F%D9%83%D8%B1%D8%A7.wav
1355,نادى,ˈnæː.da,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-نادى.wav,https://upload.wikimedia.org/wikipedia/commons/a/a0/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%86%D8%A7%D8%AF%D9%89.wav
459,بختفي,ˈbɪxt.fi,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-biḵtfi.wav,https://upload.wikimedia.org/wikipedia/commons/4/4f/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-bi%E1%B8%B5tfi.wav
1083,غمض,ˈɣɑm.mɑdˤ,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-غَمَّض.wav,https://upload.wikimedia.org/wikipedia/commons/3/32/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%BA%D9%8E%D9%85%D9%8E%D9%91%D8%B6.wav
599,جهة,ˈʒɪ.ha,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-جهة.wav,https://upload.wikimedia.org/wikipedia/commons/f/f8/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AC%D9%87%D8%A9.wav
247,كلسون,kalˈsoːn,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-كلسون.wav,https://upload.wikimedia.org/wikipedia/commons/8/80/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%83%D9%84%D8%B3%D9%88%D9%86.wav
698,خمري,ˈxam.ri,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-خمري.wav,https://upload.wikimedia.org/wikipedia/commons/5/57/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AE%D9%85%D8%B1%D9%8A.wav
96,جاكيت,ʒaˈkeːt,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-جاكيت.wav,https://upload.wikimedia.org/wikipedia/commons/b/b8/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AC%D8%A7%D9%83%D9%8A%D8%AA.wav
762,ربع,ˈrʊ.b(ʊ)ʕ,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-رُبع.wav,https://upload.wikimedia.org/wikipedia/commons/d/da/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B1%D9%8F%D8%A8%D8%B9.wav
45,انتاك,ɪnˈtæːk,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-انتاك.wav,https://upload.wikimedia.org/wikipedia/commons/b/b4/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%86%D8%AA%D8%A7%D9%83.wav
1384,نفس,ˈna.fas,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-نفس.wav,https://upload.wikimedia.org/wikipedia/commons/0/0c/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%86%D9%81%D8%B3.wav
240,كابوس,kæˈbuːs,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-كابوس.wav,https://upload.wikimedia.org/wikipedia/commons/2/27/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%83%D8%A7%D8%A8%D9%88%D8%B3.wav
1057,عوى,ˈʕaw.wa,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-عَوّى.wav,https://upload.wikimedia.org/wikipedia/commons/f/f4/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B9%D9%8E%D9%88%D9%91%D9%89.wav
1185,قلل,ˈʔal.lal,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-قَلَّل.wav,https://upload.wikimedia.org/wikipedia/commons/2/28/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%82%D9%8E%D9%84%D9%8E%D9%91%D9%84.wav
548,تالت,ˈtæː.lɪt,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-تالت.wav,https://upload.wikimedia.org/wikipedia/commons/3/34/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AA%D8%A7%D9%84%D8%AA.wav
780,ركض,ˈra.kad,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-رَكَض.wav,https://upload.wikimedia.org/wikipedia/commons/d/d7/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B1%D9%8E%D9%83%D9%8E%D8%B6.wav
580,جدد,ˈʒad.dad,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-جَدَّد.wav,https://upload.wikimedia.org/wikipedia/commons/a/aa/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AC%D9%8E%D8%AF%D9%8E%D9%91%D8%AF.wav
1104,فخدة,ˈfax.de,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-فخدة.wav,https://upload.wikimedia.org/wikipedia/commons/9/97/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%81%D8%AE%D8%AF%D8%A9.wav
429,إنه,ˈʔɪn.no,2,1,LL-Q55633582 (ajp)-AdrianAbdulBaha-إنّه.wav,https://upload.wikimedia.org/wikipedia/commons/2/26/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A5%D9%86%D9%91%D9%87.wav
1077,غطى,ˈɣɑtˤ.tˤɑ,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-غَطّى.wav,https://upload.wikimedia.org/wikipedia/commons/e/eb/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%BA%D9%8E%D8%B7%D9%91%D9%89.wav
139,دكتور,dʊkˈtoːr,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-دكتور.wav,https://upload.wikimedia.org/wikipedia/commons/c/c0/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AF%D9%83%D8%AA%D9%88%D8%B1.wav
86,تعبان,taʕˈbæːn,2,2,LL-Q55633582 (ajp)-Khalil.rantissi-تَعبان.wav,https://upload.wikimedia.org/wikipedia/commons/a/af/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AA%D9%8E%D8%B9%D8%A8%D8%A7%D9%86.wav
241,كبريت,kɪbˈriːt,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-كبريت.wav,https://upload.wikimedia.org/wikipedia/commons/b/b1/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%83%D8%A8%D8%B1%D9%8A%D8%AA.wav
667,خالص,ˈxɑː.lɪsˤ,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-خالص.wav,https://upload.wikimedia.org/wikipedia/commons/d/d8/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AE%D8%A7%D9%84%D8%B5.wav
884,شرب,ˈʃi.rɪb,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-شرب.wav,https://upload.wikimedia.org/wikipedia/commons/e/ed/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B4%D8%B1%D8%A8.wav
1140,فلح,ˈfa.laħ,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-فَلَح.wav,https://upload.wikimedia.org/wikipedia/commons/b/b8/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%81%D9%8E%D9%84%D9%8E%D8%AD.wav
1001,عجن,ˈʕa.ʒan,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-عَجَن.wav,https://upload.wikimedia.org/wikipedia/commons/6/64/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B9%D9%8E%D8%AC%D9%8E%D9%86.wav
207,عويص,ʕaˈwiːsˤ,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-عويص.wav,https://upload.wikimedia.org/wikipedia/commons/4/43/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B9%D9%88%D9%8A%D8%B5.wav
1258,لما,ˈlam.ma,2,1,LL-Q55633582 (ajp)-AdrianAbdulBaha-لمّا.wav,https://upload.wikimedia.org/wikipedia/commons/d/da/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D9%84%D9%85%D9%91%D8%A7.wav
1249,لزق,ˈlaz.zaʔ,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-لَزَّق.wav,https://upload.wikimedia.org/wikipedia/commons/f/f4/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%84%D9%8E%D8%B2%D9%8E%D9%91%D9%82.wav
261,مبروك,mabˈruːk,2,2,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-مبروك.wav,https://upload.wikimedia.org/wikipedia/commons/0/0a/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%85%D8%A8%D8%B1%D9%88%D9%83.wav
800,زفت,ˈzaf.fat,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-زَفَّت.wav,https://upload.wikimedia.org/wikipedia/commons/d/d6/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B2%D9%8E%D9%81%D9%8E%D9%91%D8%AA.wav
379,أصبع,ˈʔʊsˤ.baʕ,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-اُصبَع.wav,https://upload.wikimedia.org/wikipedia/commons/1/1e/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%A7%D9%8F%D8%B5%D8%A8%D9%8E%D8%B9.wav
1290,مريح,ˈmraj.jɪħ,2,1,LL-Q55633582 (ajp)-AdrianAbdulBaha-مريح.wav,https://upload.wikimedia.org/wikipedia/commons/7/72/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D9%85%D8%B1%D9%8A%D8%AD.wav
427,إلا,ˈʔɪl.la,2,1,LL-Q55633582 (ajp)-AdrianAbdulBaha-إلّا.wav,https://upload.wikimedia.org/wikipedia/commons/e/e7/LL-Q55633582_%28ajp%29-AdrianAbdulBaha-%D8%A5%D9%84%D9%91%D8%A7.wav
605,جينة,ˈʒeː.ne,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-جينة.wav,https://upload.wikimedia.org/wikipedia/commons/5/5e/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AC%D9%8A%D9%86%D8%A9.wav
930,صحرا,ˈsˤɑħ.rˤɑ,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-صحرا.wav,https://upload.wikimedia.org/wikipedia/commons/5/5b/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%B5%D8%AD%D8%B1%D8%A7.wav
854,سمح,ˈsa.maħ,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-سَمَح.wav,https://upload.wikimedia.org/wikipedia/commons/c/c0/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B3%D9%8E%D9%85%D9%8E%D8%AD.wav
1225,كنة,ˈkɪn.ne,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-كنّة.wav,https://upload.wikimedia.org/wikipedia/commons/b/b7/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D9%83%D9%86%D9%91%D8%A9.wav
611,حاسد,ˈħæː.sɪd,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-حاسد.wav,https://upload.wikimedia.org/wikipedia/commons/d/d0/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AD%D8%A7%D8%B3%D8%AF.wav
484,بشع,ˈbaʃ.ʃaʕ,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-بشع.wav,https://upload.wikimedia.org/wikipedia/commons/4/4b/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%A8%D8%B4%D8%B9.wav
89,تلات,taˈlæːt,2,2,LL-Q55633582 (ajp)-AseelF (AdrianAbdulBaha)-3.wav,https://upload.wikimedia.org/wikipedia/commons/b/bf/LL-Q55633582_%28ajp%29-AseelF_%28AdrianAbdulBaha%29-3.wav
551,تخت,ˈta.x(ɪ)t,2,1,LL-Q55633582 (ajp)-Muhammad (AdrianAbdulBaha)-تخت.wav,https://upload.wikimedia.org/wikipedia/commons/d/d9/LL-Q55633582_%28ajp%29-Muhammad_%28AdrianAbdulBaha%29-%D8%AA%D8%AE%D8%AA.wav
1086,غنى,ˈɣan.na,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-غَنّى.wav,https://upload.wikimedia.org/wikipedia/commons/c/c4/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%BA%D9%8E%D9%86%D9%91%D9%89.wav
830,سجل,ˈsaʒ.ʒal,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-سَجَّل.wav,https://upload.wikimedia.org/wikipedia/commons/a/a1/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%B3%D9%8E%D8%AC%D9%8E%D9%91%D9%84.wav
1244,لحم,ˈla.ħ(ɪ)m,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-لحم.wav,https://upload.wikimedia.org/wikipedia/commons/8/8a/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D9%84%D8%AD%D9%85.wav
713,دخل,ˈda.xal,2,1,LL-Q55633582 (ajp)-Khalil.rantissi-دخل.wav,https://upload.wikimedia.org/wikipedia/commons/e/ec/LL-Q55633582_%28ajp%29-Khalil.rantissi-%D8%AF%D8%AE%D9%84.wav
